model,embedding_dimension,query,precision_at_5,recall_at_5,map_at_5,ndcg_at_5,precision_at_10,recall_at_10,map_at_10,ndcg_at_10,query_latency_ms,index_build_time_ms
all-MiniLM-L6-v2,384,AI in healthcare,1.0,0.125,1.0,1.0,0.9,0.225,1.0,0.9363792118010483,35.9,314.19
all-MiniLM-L6-v2,384,wireless communication,1.0,0.29411764705882354,1.0,1.0,0.6,0.35294117647058826,0.9333333333333332,0.7125523635307982,15.89,314.19
all-MiniLM-L6-v2,384,digital libraries,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,5.51,314.19
all-MiniLM-L6-v2,384,renewable energy storage,1.0,0.625,1.0,1.0,0.6,0.75,1.0,0.8358912271816661,5.55,314.19
all-MiniLM-L6-v2,384,OCR for scanned theses,0.2,0.1111111111111111,1.0,0.3391602052736161,0.1,0.1111111111111111,1.0,0.23504554941448536,15.3,314.19
all-MiniLM-L6-v2,384,semantic search,1.0,0.10416666666666667,1.0,1.0,0.9,0.1875,1.0,0.9363792118010483,5.6,314.19
all-mpnet-base-v2,768,AI in healthcare,1.0,0.125,1.0,1.0,0.8,0.2,0.9861111111111112,0.866947989864271,780.04,1387.27
all-mpnet-base-v2,768,wireless communication,0.8,0.23529411764705882,0.95,0.8539316501572937,0.6,0.35294117647058826,0.8634920634920635,0.693761356516045,357.96,1387.27
all-mpnet-base-v2,768,digital libraries,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,9.83,1387.27
all-mpnet-base-v2,768,renewable energy storage,1.0,0.625,1.0,1.0,0.7,0.875,0.9821428571428571,0.9156857657441143,9.8,1387.27
all-mpnet-base-v2,768,OCR for scanned theses,0.2,0.1111111111111111,1.0,0.3391602052736161,0.1,0.1111111111111111,1.0,0.23504554941448536,266.47,1387.27
all-mpnet-base-v2,768,semantic search,1.0,0.10416666666666667,1.0,1.0,1.0,0.20833333333333334,1.0,1.0,9.69,1387.27
