top_k,similarity_threshold,query,precision,recall,map,ndcg,retrieved_count,query_latency_ms
3,0.0,AI in healthcare,1.0,0.075,1.0,1.0,3,5.75
3,0.0,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,4.9
3,0.0,digital libraries,1.0,0.05,1.0,1.0,3,4.09
3,0.0,renewable energy storage,1.0,0.375,1.0,1.0,3,3.87
3,0.0,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.46927872602275644,3,3.91
3,0.0,semantic search,1.0,0.0625,1.0,1.0,3,3.69
3,0.15,AI in healthcare,1.0,0.075,1.0,1.0,3,3.9
3,0.15,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,3.82
3,0.15,digital libraries,1.0,0.05,1.0,1.0,3,3.81
3,0.15,renewable energy storage,1.0,0.375,1.0,1.0,3,3.95
3,0.15,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.46927872602275644,3,3.84
3,0.15,semantic search,1.0,0.0625,1.0,1.0,3,3.73
3,0.2,AI in healthcare,1.0,0.075,1.0,1.0,3,3.76
3,0.2,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,3.65
3,0.2,digital libraries,1.0,0.05,1.0,1.0,3,3.78
3,0.2,renewable energy storage,1.0,0.375,1.0,1.0,3,4.12
3,0.2,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.46927872602275644,3,3.81
3,0.2,semantic search,1.0,0.0625,1.0,1.0,3,3.78
3,0.25,AI in healthcare,1.0,0.075,1.0,1.0,3,3.85
3,0.25,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,4.01
3,0.25,digital libraries,1.0,0.05,1.0,1.0,3,3.79
3,0.25,renewable energy storage,1.0,0.375,1.0,1.0,3,3.79
3,0.25,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.46927872602275644,3,3.76
3,0.25,semantic search,1.0,0.0625,1.0,1.0,3,3.74
3,0.3,AI in healthcare,1.0,0.075,1.0,1.0,3,3.76
3,0.3,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,3.73
3,0.3,digital libraries,1.0,0.05,1.0,1.0,3,3.83
3,0.3,renewable energy storage,1.0,0.375,1.0,1.0,3,3.74
3,0.3,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.46927872602275644,3,3.85
3,0.3,semantic search,1.0,0.0625,1.0,1.0,3,3.76
3,0.35,AI in healthcare,1.0,0.075,1.0,1.0,3,3.81
3,0.35,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,3.8
3,0.35,digital libraries,1.0,0.05,1.0,1.0,3,3.75
3,0.35,renewable energy storage,1.0,0.375,1.0,1.0,3,3.79
3,0.35,OCR for scanned theses,0.5,0.1111111111111111,1.0,0.46927872602275644,2,4.35
3,0.35,semantic search,1.0,0.0625,1.0,1.0,3,3.8
3,0.4,AI in healthcare,1.0,0.05,1.0,0.7653606369886217,2,4.35
3,0.4,wireless communication,1.0,0.17647058823529413,1.0,1.0,3,3.76
3,0.4,digital libraries,1.0,0.05,1.0,1.0,3,3.84
3,0.4,renewable energy storage,1.0,0.375,1.0,1.0,3,3.8
3,0.4,OCR for scanned theses,1.0,0.1111111111111111,1.0,0.46927872602275644,1,4.34
3,0.4,semantic search,1.0,0.0625,1.0,1.0,3,3.85
5,0.0,AI in healthcare,1.0,0.125,1.0,1.0,5,4.39
5,0.0,wireless communication,1.0,0.29411764705882354,1.0,1.0,5,3.86
5,0.0,digital libraries,1.0,0.08333333333333333,1.0,1.0,5,3.82
5,0.0,renewable energy storage,1.0,0.625,1.0,1.0,5,3.77
5,0.0,OCR for scanned theses,0.2,0.1111111111111111,1.0,0.3391602052736161,5,3.77
5,0.0,semantic search,1.0,0.10416666666666667,1.0,1.0,5,3.81
5,0.15,AI in healthcare,1.0,0.125,1.0,1.0,5,3.87
5,0.15,wireless communication,1.0,0.29411764705882354,1.0,1.0,5,3.72
5,0.15,digital libraries,1.0,0.08333333333333333,1.0,1.0,5,3.73
5,0.15,renewable energy storage,1.0,0.625,1.0,1.0,5,3.78
5,0.15,OCR for scanned theses,0.2,0.1111111111111111,1.0,0.3391602052736161,5,3.88
5,0.15,semantic search,1.0,0.10416666666666667,1.0,1.0,5,3.81
5,0.2,AI in healthcare,1.0,0.125,1.0,1.0,5,3.8
5,0.2,wireless communication,1.0,0.29411764705882354,1.0,1.0,5,3.77
5,0.2,digital libraries,1.0,0.08333333333333333,1.0,1.0,5,3.72
