top_k,similarity_threshold,precision,recall,map,ndcg,avg_retrieved_count,avg_query_latency_ms
3,0.0,0.8888888888888888,0.14168028322440088,1.0,0.9115464543371261,3.0,4.368333333333333
3,0.15,0.8888888888888888,0.14168028322440088,1.0,0.9115464543371261,3.0,3.841666666666667
3,0.2,0.8888888888888888,0.14168028322440088,1.0,0.9115464543371261,3.0,3.8166666666666664
3,0.25,0.8888888888888888,0.14168028322440088,1.0,0.9115464543371261,3.0,3.823333333333333
3,0.3,0.8888888888888888,0.14168028322440088,1.0,0.9115464543371261,3.0,3.7783333333333338
3,0.35,0.9166666666666666,0.14168028322440088,1.0,0.9115464543371261,2.8333333333333335,3.8833333333333333
3,0.4,1.0,0.1375136165577342,1.0,0.8724398938352297,2.5,3.9899999999999998
5,0.0,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,5.0,3.903333333333333
5,0.15,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,5.0,3.7983333333333333
5,0.2,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,5.0,3.7866666666666666
5,0.25,0.8666666666666667,0.22378812636165576,1.0,0.8898600342122694,5.0,3.845
5,0.3,0.8888888888888888,0.22378812636165576,1.0,0.8898600342122694,4.666666666666667,3.953333333333333
5,0.35,0.9166666666666666,0.1639842047930283,1.0,0.7755680455085296,3.6666666666666665,4.3933333333333335
5,0.4,1.0,0.1500136165577342,1.0,0.7229599700952772,3.1666666666666665,4.575
10,0.0,0.6833333333333332,0.29886982570806103,0.9888888888888889,0.7760412606215077,10.0,4.7683333333333335
10,0.15,0.6833333333333332,0.29886982570806103,0.9888888888888889,0.7760412606215077,10.0,5.613333333333333
10,0.2,0.700925925925926,0.28906590413943356,1.0,0.7654377959216824,9.5,5.013333333333333
10,0.25,0.8208333333333333,0.28906590413943356,1.0,0.7654377959216824,8.166666666666666,6.171666666666667
10,0.3,0.8722222222222222,0.2598992374727669,1.0,0.7278068869144269,6.666666666666667,6.185
10,0.35,0.9,0.1917619825708061,1.0,0.6238694072504694,5.333333333333333,6.6816666666666675
10,0.4,0.9833333333333334,0.17779139433551197,1.0,0.5897303659973709,4.833333333333333,7.413333333333334
15,0.0,0.6444444444444445,0.4006535947712418,0.8688655056786926,0.7738495901788586,15.0,6.336666666666667
15,0.15,0.6492063492063492,0.4006535947712418,0.8688655056786926,0.7738495901788586,14.833333333333334,6.638333333333333
15,0.2,0.7064814814814815,0.3712418300653595,0.8944968188100056,0.7505896457586158,12.833333333333334,7.876666666666668
15,0.25,0.8041666666666667,0.32170479302832244,0.9900284239569954,0.7084183234614042,10.166666666666666,9.87
15,0.3,0.8666666666666667,0.2883714596949891,0.9928062017347732,0.6681875172631243,8.333333333333334,8.110000000000001
15,0.35,0.8944444444444445,0.22023420479302833,0.9928062017347732,0.5798693910326247,7.0,7.826666666666667
15,0.4,0.9777777777777779,0.2062636165577342,0.9928062017347732,0.5534057243587708,6.5,7.913333333333334
20,0.0,0.5916666666666667,0.4667075163398693,0.8430257249252784,0.7649982104422697,20.0,5.988333333333333
20,0.15,0.613095238095238,0.43607026143790845,0.8637558435720637,0.748704907196233,18.333333333333332,5.84
20,0.2,0.6821759259259258,0.40665849673202614,0.8893871567033768,0.7272207141565167,15.5,6.2683333333333335
20,0.25,0.8097222222222222,0.3529547930283224,0.9870178329054816,0.6831362244093739,11.833333333333334,7.308333333333334
20,0.3,0.8722222222222222,0.3196214596949891,0.9897956106832594,0.6471276239202982,10.0,6.823333333333333
20,0.35,0.8985294117647058,0.24315087145969497,0.9906300233031917,0.5503851198897337,8.166666666666666,6.9433333333333325
20,0.4,0.9784722222222223,0.20904139433551197,0.9922824067466925,0.49365099631066583,6.666666666666667,7.235
